"RNUM","VARIABLE_TITLE"
"62","S0920900","HOW OFT R CALM/PEACEFUL PAST MO 2002"
"63","S4682000","HOW OFT R CALM/PEACEFUL PAST MO 2004"
"64","S8332400","HOW OFT R CALM/PEACEFUL PAST MO 2006"
"65","T2782700","HOW OFT R CALM/PEACEFUL PAST MO 2008"
"66","T6143800","HOW OFT R CALM/PEACEFUL PAST MO 2010"
"67","R4894000","HOW OFT R DEPRESSED LAST MONTH 2000"
"68","S0921200","HOW OFT R DEPRESSED LAST MONTH 2002"
"69","S4682300","HOW OFT R DEPRESSED LAST MONTH 2004"
"70","S8332700","HOW OFT R DEPRESSED LAST MONTH 2006"
"71","T2783000","HOW OFT R DEPRESSED LAST MONTH 2008"
"72","T6144100","HOW OFT R DEPRESSED LAST MONTH 2010"
"73","R4893800","HOW OFT R FELT DOWN OR BLUE 2000"
"74","S0921000","HOW OFT R FELT DOWN OR BLUE 2002"
"75","S4682100","HOW OFT R FELT DOWN OR BLUE 2004"
"76","S8332500","HOW OFT R FELT DOWN OR BLUE 2006"
"77","T2782800","HOW OFT R FELT DOWN OR BLUE 2008"
"78","T6143900","HOW OFT R FELT DOWN OR BLUE 2010"
"79","R0552400","HOW OFTEN PR CHURCH LAST YR? 1997"
"80","R4893400","HOW OFTEN R ATTEND WORSHIP SERV 2000"
"81","R6520100","HOW OFTEN R ATTEND WORSHIP SERV 2001"
"82","S0919300","HOW OFTEN R ATTEND WORSHIP SERV 2002"
"83","S2987800","HOW OFTEN R ATTEND WORSHIP SERV 2003"
"84","S4681700","HOW OFTEN R ATTEND WORSHIP SERV 2004"
"85","S6316700","HOW OFTEN R ATTEND WORSHIP SERV 2005"
"86","S8331500","HOW OFTEN R ATTEND WORSHIP SERV 2006"
"87","T0739400","HOW OFTEN R ATTEND WORSHIP SERV 2007"
"88","T2781700","HOW OFTEN R ATTEND WORSHIP SERV 2008"
"89","T4495000","HOW OFTEN R ATTEND WORSHIP SERV 2009"
"90","T6143400","HOW OFTEN R ATTEND WORSHIP SERV 2010"
"91","T7637300","HOW OFTEN R ATTEND WORSHIP SERV 2011"
"92","S1225400","HRS/WK R USES A COMPUTER 2002"
"93","T1049900","HRS/WK R USES A COMPUTER 2007"
"94","T3145100","HRS/WK R USES A COMPUTER 2008"
"95","T4565400","HRS/WK R USES A COMPUTER 2009"
"96","T6209600","HRS/WK R USES A COMPUTER 2010"
"97","T7707000","HRS/WK R USES A COMPUTER 2011"
"98","S1225500","HRS/WK R WATCHES TELEVISION 2002"
"99","T1050000","HRS/WK R WATCHES TELEVISION 2007"
"100","T3145200","HRS/WK R WATCHES TELEVISION 2008"
"101","T4565500","HRS/WK R WATCHES TELEVISION 2009"
"102","T6209700","HRS/WK R WATCHES TELEVISION 2010"
"103","T7707100","HRS/WK R WATCHES TELEVISION 2011"
"104","T2782400","IMPORT OF RELIGIOUS FAITH IN DAILY LIFE 2008"
"105","T7638000","IMPORT OF RELIGIOUS FAITH IN DAILY LIFE 2011"
"106","R0536401","KEY!BDATE M/Y (SYMBOL) 1997"
"107","R0536402","KEY!BDATE M/Y (SYMBOL) 1997"
"108","R1482600","KEY!RACE_ETHNICITY (SYMBOL) 1997"
"109","R0536300","KEY!SEX (SYMBOL) 1997"
"110","R0000100","PUBID - YTH ID CODE 1997"
"111","T2111500","R A BORN-AGAIN EVANGELICAL CHRISTIAN? 2008"
"112","T6759400","R A BORN-AGAIN EVANGELICAL CHRISTIAN? 2011"
"113","S0919600","R ASKS GOD HELP MAKE DECISIONS 2002"
"114","S6317000","R ASKS GOD HELP MAKE DECISIONS 2005"
"115","T2782100","R ASKS GOD HELP MAKE DECISIONS 2008"
"116","T7637700","R ASKS GOD HELP MAKE DECISIONS 2011"
"117","S0919500","R BELIEVE RELIG TEACHINGS OBEYED 2002"
"118","S6316900","R BELIEVE RELIG TEACHINGS OBEYED 2005"
"119","T2782000","R BELIEVE RELIG TEACHINGS OBEYED 2008"
"120","T7637600","R BELIEVE RELIG TEACHINGS OBEYED 2011"
"121","S5532800","R CURR REL PREF 2005"
"122","T2111400","R CURR REL PREF 2008"
"123","T6759300","R CURR REL PREF 2011"
"124","S0919400","R NOT NEED RELIGION TO HAVE VALUES 2002"
"125","S6316800","R NOT NEED RELIGION TO HAVE VALUES 2005"
"126","T2781900","R NOT NEED RELIGION TO HAVE VALUES 2008"
"127","T7637500","R NOT NEED RELIGION TO HAVE VALUES 2011"
"128","S0919800","R PRAYS MORE THAN ONCE A DAY 2002"
"129","S6317200","R PRAYS MORE THAN ONCE A DAY 2005"
"130","T2782300","R PRAYS MORE THAN ONCE A DAY 2008"
"131","T7637900","R PRAYS MORE THAN ONCE A DAY 2011"
"132","R0552300","WHAT IS PR CURR RELIG PREF? 1997"
"133","R0552200","WHAT RELIG PR RAISED IN? 1997"
