RNumber,VariableTitle,Year,VariableName,Units,LabelShort,LabelLong,MissingCodes
S0921000,HOW OFT R FELT DOWN OR BLUE 2002,2002,blue,,,,
S4682100,HOW OFT R FELT DOWN OR BLUE 2004,2004,blue,,,,
S8332500,HOW OFT R FELT DOWN OR BLUE 2006,2006,blue,,,,
T2782800,HOW OFT R FELT DOWN OR BLUE 2008,2008,blue,,,,
T6143900,HOW OFT R FELT DOWN OR BLUE 2010,2010,blue,,,,
R0552400,HOW OFTEN PR CHURCH LAST YR? 1997,1997,attendPR,,,,
R4893400,HOW OFTEN R ATTEND WORSHIP SERV 2000,2000,attend,,,,
R6520100,HOW OFTEN R ATTEND WORSHIP SERV 2001,2001,attend,,,,
S0919300,HOW OFTEN R ATTEND WORSHIP SERV 2002,2002,attend,,,,
S2987800,HOW OFTEN R ATTEND WORSHIP SERV 2003,2003,attend,,,,
S4681700,HOW OFTEN R ATTEND WORSHIP SERV 2004,2004,attend,,,,
S6316700,HOW OFTEN R ATTEND WORSHIP SERV 2005,2005,attend,,,,
S8331500,HOW OFTEN R ATTEND WORSHIP SERV 2006,2006,attend,,,,
T0739400,HOW OFTEN R ATTEND WORSHIP SERV 2007,2007,attend,,,,
T2781700,HOW OFTEN R ATTEND WORSHIP SERV 2008,2008,attend,,,,
T4495000,HOW OFTEN R ATTEND WORSHIP SERV 2009,2009,attend,,,,
T6143400,HOW OFTEN R ATTEND WORSHIP SERV 2010,2010,attend,,,,
T7637300,HOW OFTEN R ATTEND WORSHIP SERV 2011,2011,attend,,,,
S1225400,HRS/WK R USES A COMPUTER 2002,2002,computer,,,,
T1049900,HRS/WK R USES A COMPUTER 2007,2007,computer,,,,
T3145100,HRS/WK R USES A COMPUTER 2008,2008,computer,,,,
T4565400,HRS/WK R USES A COMPUTER 2009,2009,computer,,,,
T6209600,HRS/WK R USES A COMPUTER 2010,2010,computer,,,,
T7707000,HRS/WK R USES A COMPUTER 2011,2011,computer,,,,
S1225500,HRS/WK R WATCHES TELEVISION 2002,2002,tv,,,,
T1050000,HRS/WK R WATCHES TELEVISION 2007,2007,tv,,,,
T3145200,HRS/WK R WATCHES TELEVISION 2008,2008,tv,,,,
T4565500,HRS/WK R WATCHES TELEVISION 2009,2009,tv,,,,
T6209700,HRS/WK R WATCHES TELEVISION 2010,2010,tv,,,,
T7707100,HRS/WK R WATCHES TELEVISION 2011,2011,tv,,,,
T2782400,IMPORT OF RELIGIOUS FAITH IN DAILY LIFE 2008,2008,faith,,,,
T7638000,IMPORT OF RELIGIOUS FAITH IN DAILY LIFE 2011,2011,faith,,,,
R0536401,KEY!BDATE M/Y (SYMBOL) 1997,1997,bmonth,,,,
R0536402,KEY!BDATE M/Y (SYMBOL) 1997,1997,byear,,,,
R1482600,KEY!RACE_ETHNICITY (SYMBOL) 1997,1997,race,,,,
R0536300,KEY!SEX (SYMBOL) 1997,1997,sex,,,,
R0000100,PUBID - YTH ID CODE 1997,1997,id,,,,
T2111500,R A BORN-AGAIN EVANGELICAL CHRISTIAN? 2008,2008,bornagain,,,,
T6759400,R A BORN-AGAIN EVANGELICAL CHRISTIAN? 2011,2011,bornagain,,,,
S0919600,R ASKS GOD HELP MAKE DECISIONS 2002,2002,decisions,,,,
S6317000,R ASKS GOD HELP MAKE DECISIONS 2005,2005,decisions,,,,
T2782100,R ASKS GOD HELP MAKE DECISIONS 2008,2008,decisions,,,,
T7637700,R ASKS GOD HELP MAKE DECISIONS 2011,2011,decisions,,,,
S0919500,R BELIEVE RELIG TEACHINGS OBEYED 2002,2002,obeyed,,,,
S6316900,R BELIEVE RELIG TEACHINGS OBEYED 2005,2005,obeyed,,,,
T2782000,R BELIEVE RELIG TEACHINGS OBEYED 2008,2008,obeyed,,,,
T7637600,R BELIEVE RELIG TEACHINGS OBEYED 2011,2011,obeyed,,,,
S5532800,R CURR REL PREF 2005,2005,relpref,,,,
T2111400,R CURR REL PREF 2008,2008,relpref,,,,
T6759300,R CURR REL PREF 2011,2011,relpref,,,,
S0919400,R NOT NEED RELIGION TO HAVE VALUES 2002,2002,values,,,,
S6316800,R NOT NEED RELIGION TO HAVE VALUES 2005,2005,values,,,,
T2781900,R NOT NEED RELIGION TO HAVE VALUES 2008,2008,values,,,,
T7637500,R NOT NEED RELIGION TO HAVE VALUES 2011,2011,values,,,,
S0919800,R PRAYS MORE THAN ONCE A DAY 2002,2002,pray,,,,
S6317200,R PRAYS MORE THAN ONCE A DAY 2005,2005,pray,,,,
T2782300,R PRAYS MORE THAN ONCE A DAY 2008,2008,pray,,,,
T7637900,R PRAYS MORE THAN ONCE A DAY 2011,2011,pray,,,,
R0552300,WHAT IS PR CURR RELIG PREF? 1997,1997,relprefPR,,,,
R0552200,WHAT RELIG PR RAISED IN? 1997,1997,relraisedPR,,,,
